idno,ppltrst,happy,health,cgtsday,alcfreq,height,weight,gndr,yrbrn,polpartvt
924278,Most people can be trusted,Extremely happy,Good,20,Several times a week,167,54,Female,1934, Det Radikale Venstre
924325,8,9,Good,NA,Once a month,175,78,Male,1971," Venstre, Danmarks Liberale Parti"
924359,8,Extremely happy,Good,NA,Once a week,165,72,Male,1937, Dansk Folkeparti
924367,5,8,Very good,NA,Once a week,178,85,Male,1943, Socialdemokrat
924375,7,Extremely happy,Very good,NA,Once a month,178,76,Female,1976, Det Konservative Folkeparti
924383,3,8,Bad,NA,Never,175,94,Male,1946, Andet
924406,8,8,Good,NA,Never,168,65,Female,1934, Socialdemokraterne
924430,7,8,Very good,NA,Once a week,178,69,Male,1957, Det Konservative Folkeparti
924464,7,9,Good,NA,Once a month,174,74,Female,1991, Enhedslisten
924472,8,8,Very good,NA,Less than once a month,168,72,Female,1989, Det Radikale Venstre
924480,8,Extremely happy,Very good,NA,Less than once a month,166,65,Female,1957, Socialdemokraterne
924498,5,7,Very good,10,Several times a week,175,66,Male,1966, Socialdemokrat
924503,7,8,Good,NA,Every day,181,81.5,Male,1932, Dansk Folkeparti
924511,8,9,Fair,20,Less than once a month,157,59,Male,1957, SF Socialistisk Folkeparti
924529,8,9,Good,NA,Several times a week,163,75,Female,1957, Socialdemokraterne
924545,5,Extremely happy,Good,4,Never,172,75,Male,1979,[NA] Not applicable
924561,8,Extremely happy,Very good,NA,Less than once a month,172,57,Female,1980, Socialdemokrat
924579,5,9,Bad,NA,Several times a week,165,66,Female,1945," Venstre, Danmarks Liberale Parti"
924595,8,9,Good,NA,Several times a week,165,80,Female,1955, Enhedslisten
924600,9,6,Fair,NA,Several times a week,188,91,Male,1955," Venstre, Danmarks Liberale Parti"
924618,7,9,Good,NA,Once a week,180,81,Male,1977, Liberal Alliance
924626,8,8,Very good,25,Once a month,168,85,Male,1942," Venstre, Danmarks Liberale Parti"
924676,3,8,Very good,NA,Once a week,180,83,Male,1955," Venstre, Danmarks Liberale Parti"
924692,7,5,Good,NA,Once a week,163,58,Female,1980, SF Socialistisk Folkeparti
924715,9,9,Good,3,Once a week,167,95,Female,1985, Det Radikale Venstre
924731,5,8,Bad,NA,Never,178,86,Male,1951,[NA] Not applicable
924781,9,Extremely happy,Very good,NA,Several times a week,178,75,Male,1973," Venstre, Danmarks Liberale Parti"
924812,You can't be too careful,9,Very good,NA,Once a week,173,65,Female,1984, Det Konservative Folkeparti
924846,8,9,Very good,NA,Less than once a month,168,68,Female,1972,[NA] Don't know
924854,7,7,Good,NA,Never,173,87,Male,1966, Det Radikale Venstre
